N,Threads(Np_Nc),Tempo_Medio_Segundos
1,1p_1c,9.2115
1,1p_2c,9.0370
1,1p_4c,8.4355
1,1p_8c,8.4160
1,2p_1c,8.9987
1,4p_1c,8.5336
1,8p_1c,9.1370
10,1p_1c,0.9149
10,1p_2c,0.5735
10,1p_4c,2.5457
10,1p_8c,2.5072
10,2p_1c,0.5558
10,4p_1c,2.4057
10,8p_1c,2.5000
100,1p_1c,0.1313
100,1p_2c,0.1075
100,1p_4c,2.4106
100,1p_8c,2.4512
100,2p_1c,0.2601
100,4p_1c,2.4584
100,8p_1c,2.3676
1000,1p_1c,0.1308
1000,1p_2c,0.0972
1000,1p_4c,2.3107
1000,1p_8c,2.4283
1000,2p_1c,0.2544
1000,4p_1c,2.4551
1000,8p_1c,2.3575
